<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20101018;00:00;9283.0000000;9602.0000000;9283.0000000;9599.0000000;664654
20101019;00:00;9599.0000000;9759.0000000;9445.0000000;9470.0000000;1154709
20101020;00:00;9470.0000000;9870.0000000;9470.0000000;9835.0000000;927224
20101021;00:00;9840.0000000;10375.0000000;9770.0000000;10285.0000000;1815570
20101022;00:00;10294.0000000;10457.0000000;10158.0000000;10271.0000000;1144872
20101025;00:00;10274.0000000;10466.0000000;10225.0000000;10255.0000000;652705
20101026;00:00;10250.0000000;10290.0000000;10015.0000000;10251.0000000;827196
20101027;00:00;10241.0000000;10241.0000000;9965.0000000;10053.0000000;813922
20101028;00:00;10056.0000000;10142.0000000;9921.0000000;10017.0000000;720648
20101029;00:00;10001.0000000;10227.0000000;9877.0000000;10160.0000000;814581
20101101;00:00;10166.0000000;10344.0000000;10166.0000000;10223.0000000;717293
20101102;00:00;10225.0000000;10380.0000000;10205.0000000;10310.0000000;545209
20101103;00:00;10297.0000000;10457.0000000;10275.0000000;10447.0000000;469033
20101108;00:00;10450.0000000;10750.0000000;10395.0000000;10460.0000000;522922
20101109;00:00;10459.0000000;10535.0000000;10300.0000000;10310.0000000;619267
20101110;00:00;10319.0000000;10387.0000000;10056.0000000;10168.0000000;844616
20101111;00:00;10167.0000000;10177.0000000;9789.0000000;9892.0000000;1018763
20101112;00:00;9891.0000000;9891.0000000;9633.0000000;9760.0000000;998426
20101113;00:00;9760.0000000;9835.0000000;9735.0000000;9813.0000000;125601
20101115;00:00;9819.0000000;9985.0000000;9785.0000000;9889.0000000;657224
20101116;00:00;9885.0000000;9885.0000000;9454.0000000;9480.0000000;898827
20101117;00:00;9482.0000000;9772.0000000;9479.0000000;9700.0000000;1060899
20101118;00:00;9703.0000000;9990.0000000;9703.0000000;9972.0000000;795615
20101119;00:00;9970.0000000;10020.0000000;9801.0000000;9950.0000000;790203
20101122;00:00;9950.0000000;10090.0000000;9882.0000000;9964.0000000;667461
20101123;00:00;9964.0000000;9964.0000000;9757.0000000;9822.0000000;1090914
20101124;00:00;9831.0000000;10245.0000000;9789.0000000;10195.0000000;919657
20101125;00:00;10191.0000000;10330.0000000;10103.0000000;10273.0000000;576881
20101126;00:00;10272.0000000;10272.0000000;10020.0000000;10135.0000000;719265
20101129;00:00;10149.0000000;10321.0000000;10056.0000000;10200.0000000;822569
20101130;00:00;10193.0000000;10220.0000000;9975.0000000;10136.0000000;904900
20101201;00:00;10140.0000000;10410.0000000;10140.0000000;10385.0000000;616695
20101202;00:00;10393.0000000;10450.0000000;10178.0000000;10413.0000000;754747
20101203;00:00;10413.0000000;10430.0000000;10221.0000000;10335.0000000;722643
20101206;00:00;10335.0000000;10608.0000000;10302.0000000;10585.0000000;843480
20101207;00:00;10589.0000000;10836.0000000;10589.0000000;10690.0000000;1036563
20101208;00:00;10686.0000000;10902.0000000;10476.0000000;10547.0000000;1006897
20101209;00:00;10547.0000000;10669.0000000;10429.0000000;10490.0000000;827250
20101210;00:00;10549.0000000;10610.0000000;10447.0000000;10570.0000000;49018
20101213;00:00;10570.0000000;10862.0000000;10570.0000000;10779.0000000;169391
20101214;00:00;10778.0000000;10883.0000000;10687.0000000;10782.0000000;362612
20101215;00:00;10777.0000000;10888.0000000;10655.0000000;10752.0000000;643172
20101216;00:00;10752.0000000;10859.0000000;10662.0000000;10728.0000000;480791
20101217;00:00;10720.0000000;10775.0000000;10624.0000000;10661.0000000;373247
20101220;00:00;10661.0000000;10717.0000000;10586.0000000;10647.0000000;401736
20101221;00:00;10650.0000000;10830.0000000;10642.0000000;10815.0000000;452820
20101222;00:00;10812.0000000;10865.0000000;10764.0000000;10804.0000000;244604
20101223;00:00;10813.0000000;10829.0000000;10753.0000000;10783.0000000;190867
20101224;00:00;10786.0000000;10817.0000000;10707.0000000;10724.0000000;107594
20101227;00:00;10725.0000000;10739.0000000;10610.0000000;10665.0000000;165819
20101228;00:00;10661.0000000;10672.0000000;10558.0000000;10597.0000000;251744
20101229;00:00;10598.0000000;10625.0000000;10450.0000000;10549.0000000;216065
20101230;00:00;10549.0000000;10590.0000000;10470.0000000;10590.0000000;200298
20110111;00:00;10595.0000000;10672.0000000;10349.0000000;10500.0000000;451800
20110112;00:00;10505.0000000;10835.0000000;10489.0000000;10802.0000000;573888
20110113;00:00;10795.0000000;10978.0000000;10701.0000000;10789.0000000;663114
20110114;00:00;10798.0000000;10900.0000000;10735.0000000;10900.0000000;491909
20110117;00:00;10890.0000000;11071.0000000;10810.0000000;11030.0000000;444273
20110118;00:00;11031.0000000;11168.0000000;10851.0000000;10936.0000000;616221
20110119;00:00;10953.0000000;11015.0000000;10733.0000000;10746.0000000;630356
20110120;00:00;10745.0000000;10777.0000000;10476.0000000;10631.0000000;622294
20110121;00:00;10629.0000000;10710.0000000;10505.0000000;10566.0000000;734858
20110124;00:00;10587.0000000;10676.0000000;10335.0000000;10524.0000000;719802
20110125;00:00;10524.0000000;10740.0000000;10500.0000000;10685.0000000;657836
20110126;00:00;10685.0000000;10938.0000000;10685.0000000;10925.0000000;580746
20110127;00:00;10930.0000000;11049.0000000;10776.0000000;10837.0000000;792515
20110128;00:00;10833.0000000;10896.0000000;10550.0000000;10572.0000000;639739
20110131;00:00;10574.0000000;10700.0000000;10467.0000000;10694.0000000;581074
20110201;00:00;10698.0000000;10760.0000000;10575.0000000;10665.0000000;519278
20110202;00:00;10486.0000000;10509.0000000;10454.0000000;10461.0000000;22215
20110203;00:00;10461.0000000;10580.0000000;10336.0000000;10524.0000000;748986
20110204;00:00;10533.0000000;10546.0000000;10275.0000000;10350.0000000;681515
20110207;00:00;10356.0000000;10417.0000000;10181.0000000;10378.0000000;701359
20110208;00:00;10378.0000000;10441.0000000;10102.0000000;10254.0000000;801260
20110209;00:00;10254.0000000;10262.0000000;9978.0000000;10020.0000000;773439
