<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20141001;00:00;75.1800000;76.8400000;70.8500000;76.2300000;2901457000
20141101;00:00;76.0800000;78.7000000;71.4200000;72.2500000;2028306710
20141201;00:00;71.8900000;74.4700000;47.2100000;54.9000000;4333293540
20150101;00:00;54.0300000;67.7700000;53.5800000;61.5000000;2689469610
20150201;00:00;62.0000000;76.8400000;59.9000000;75.9100000;3578538150
20150301;00:00;76.3400000;77.4500000;60.5700000;62.8800000;2783157720
20150401;00:00;62.4400000;77.7000000;62.1800000;76.9000000;3215226930
20150501;00:00;77.2100000;80.9800000;71.1500000;73.5000000;1829929300
20150601;00:00;73.6900000;74.4900000;68.4100000;72.3500000;1883885960
20150701;00:00;72.2900000;75.9700000;66.5000000;72.3000000;2688811740
20150801;00:00;71.5100000;75.6700000;66.7500000;74.5000000;2484178340
20150901;00:00;74.3800000;77.9800000;72.2200000;75.3000000;2005074470
20151001;00:00;76.0000000;92.7000000;72.9500000;90.5300000;2846544230
20151101;00:00;90.2500000;110.7000000;89.6600000;102.9000000;2283973770
20151201;00:00;103.5100000;105.6700000;96.2300000;101.2600000;1879082050
20160101;00:00;101.0000000;101.7800000;82.2000000;96.5000000;2055444370
20160201;00:00;96.3500000;107.3800000;92.7000000;107.0000000;2179494260
20160301;00:00;107.5000000;114.1900000;105.3500000;109.9000000;1955940660
20160401;00:00;109.3200000;125.7800000;106.0000000;123.5500000;2123018880
20160501;00:00;121.5000000;135.9800000;118.4100000;132.5600000;1386250880
20160601;00:00;132.3600000;142.0000000;125.3500000;133.0000000;1548599170
20160701;00:00;133.3300000;141.3500000;127.8500000;139.1500000;1223328450
20160801;00:00;140.0000000;145.6000000;134.2700000;143.5000000;1149208260
20160901;00:00;143.8800000;156.2500000;143.6000000;145.3400000;1116397520
20161001;00:00;146.0000000;152.4400000;145.5400000;147.4000000;776532120
20161101;00:00;147.9000000;163.4200000;141.6000000;158.7000000;1112427030
20161201;00:00;159.8000000;185.3400000;157.1000000;173.2500000;1202992750
20170101;00:00;173.4100000;181.6800000;163.3400000;172.2000000;988723570
20170201;00:00;172.5100000;174.9800000;155.7000000;156.0000000;816284690
20170301;00:00;155.9900000;165.9900000;155.2300000;159.8000000;978856860
20170401;00:00;160.5000000;168.4500000;147.6200000;165.2000000;963970030
20170501;00:00;166.0000000;172.3900000;155.0300000;155.9300000;824194850
20170601;00:00;156.4000000;158.8900000;136.2000000;145.5900000;1247585930
20170701;00:00;146.6900000;167.3500000;146.2200000;164.5300000;1055435570
20170801;00:00;165.5300000;186.3300000;165.3000000;183.5100000;1063813850
20170901;00:00;183.8500000;195.0000000;180.9300000;192.3300000;942566460
20171001;00:00;192.7100000;198.5200000;189.0600000;193.8000000;744449580
20171101;00:00;194.5000000;233.9500000;192.3800000;224.3500000;1252529590
20171201;00:00;224.5300000;230.5000000;219.2300000;225.2000000;682568440
20180101;00:00;226.8800000;264.7900000;226.3500000;264.5000000;839314400
20180201;00:00;265.0000000;285.0000000;244.1300000;272.4000000;1029517670
20180301;00:00;270.9800000;281.5000000;249.7600000;253.5700000;991918100
20180401;00:00;253.6000000;262.8900000;191.5000000;226.9900000;2362442930
20180501;00:00;224.5000000;237.9500000;217.1000000;222.3600000;1042240600
20180601;00:00;221.5000000;222.7700000;198.5500000;218.0000000;1080716060
